,Application/Permit Number,Category
4789,6594889,SINGLE FAMILY / DUPLEX
4790,6527370,SINGLE FAMILY / DUPLEX
4791,6624288,SINGLE FAMILY / DUPLEX
4792,6515180,SINGLE FAMILY / DUPLEX
4793,6387614,SINGLE FAMILY / DUPLEX
4794,6275941,SINGLE FAMILY / DUPLEX
4795,6371351,SINGLE FAMILY / DUPLEX
4796,6545378,SINGLE FAMILY / DUPLEX
4797,6468609,SINGLE FAMILY / DUPLEX
4798,6588188,SINGLE FAMILY / DUPLEX
4799,6358920,SINGLE FAMILY / DUPLEX
4800,6551335,SINGLE FAMILY / DUPLEX
4801,6525341,SINGLE FAMILY / DUPLEX
4802,6454681,SINGLE FAMILY / DUPLEX
4803,6651633,SINGLE FAMILY / DUPLEX
4804,6433734,MULTIFAMILY
4805,6368539,SINGLE FAMILY / DUPLEX
4806,6562537,SINGLE FAMILY / DUPLEX
4807,6416732,SINGLE FAMILY / DUPLEX
4808,6554418,SINGLE FAMILY / DUPLEX
4809,6485898,SINGLE FAMILY / DUPLEX
4810,6499890,SINGLE FAMILY / DUPLEX
4811,6504396,SINGLE FAMILY / DUPLEX
4812,6409189,SINGLE FAMILY / DUPLEX
4813,6177530,SINGLE FAMILY / DUPLEX
4814,6360864,SINGLE FAMILY / DUPLEX
4815,6407512,SINGLE FAMILY / DUPLEX
4816,6412799,COMMERCIAL
4817,6479686,MULTIFAMILY
4818,6576962,COMMERCIAL
4819,6521315,SINGLE FAMILY / DUPLEX
4820,6388392,SINGLE FAMILY / DUPLEX
4821,6424927,SINGLE FAMILY / DUPLEX
4822,6414374,SINGLE FAMILY / DUPLEX
4823,6615090,SINGLE FAMILY / DUPLEX
4824,6503885,SINGLE FAMILY / DUPLEX
4825,6472055,SINGLE FAMILY / DUPLEX
4826,6214362,COMMERCIAL
4827,6572015,SINGLE FAMILY / DUPLEX
4828,6559114,SINGLE FAMILY / DUPLEX
4829,6591416,SINGLE FAMILY / DUPLEX
4830,6406185,SINGLE FAMILY / DUPLEX
4831,6556815,SINGLE FAMILY / DUPLEX
4832,6639813,SINGLE FAMILY / DUPLEX
4833,6465728,COMMERCIAL
4834,6621677,SINGLE FAMILY / DUPLEX
4835,6376567,SINGLE FAMILY / DUPLEX
4836,6643560,COMMERCIAL
4837,6577302,SINGLE FAMILY / DUPLEX
4838,6609700,SINGLE FAMILY / DUPLEX
4839,6534112,SINGLE FAMILY / DUPLEX
4840,6563448,SINGLE FAMILY / DUPLEX
4841,6437881,SINGLE FAMILY / DUPLEX
4842,6388445,SINGLE FAMILY / DUPLEX
4843,6563025,SINGLE FAMILY / DUPLEX
4844,6387143,SINGLE FAMILY / DUPLEX
4845,6369693,SINGLE FAMILY / DUPLEX
4846,6415992,SINGLE FAMILY / DUPLEX
4847,6414019,SINGLE FAMILY / DUPLEX
4848,6423717,SINGLE FAMILY / DUPLEX
4849,6549864,COMMERCIAL
4850,6612367,SINGLE FAMILY / DUPLEX
4851,6373588,SINGLE FAMILY / DUPLEX
4852,6648555,SINGLE FAMILY / DUPLEX
4853,6367214,SINGLE FAMILY / DUPLEX
4854,6525846,SINGLE FAMILY / DUPLEX
4855,6501374,SINGLE FAMILY / DUPLEX
4856,6251400,SINGLE FAMILY / DUPLEX
4857,6550746,SINGLE FAMILY / DUPLEX
4858,6359656,SINGLE FAMILY / DUPLEX
4859,6253350,COMMERCIAL
4860,6251296,SINGLE FAMILY / DUPLEX
4861,6571879,COMMERCIAL
4862,6553547,SINGLE FAMILY / DUPLEX
4863,6467673,SINGLE FAMILY / DUPLEX
4864,6504685,SINGLE FAMILY / DUPLEX
4865,6303448,SINGLE FAMILY / DUPLEX
4866,6647627,MULTIFAMILY
4867,6424898,SINGLE FAMILY / DUPLEX
4868,6394908,SINGLE FAMILY / DUPLEX
4869,6363202,SINGLE FAMILY / DUPLEX
4870,6496216,SINGLE FAMILY / DUPLEX
4871,6606576,COMMERCIAL
4872,6461160,SINGLE FAMILY / DUPLEX
4873,6416852,SINGLE FAMILY / DUPLEX
4874,6126109,SINGLE FAMILY / DUPLEX
4875,6471029,SINGLE FAMILY / DUPLEX
4876,6546352,SINGLE FAMILY / DUPLEX
4877,6436955,SINGLE FAMILY / DUPLEX
4878,6553888,SINGLE FAMILY / DUPLEX
4879,6618990,SINGLE FAMILY / DUPLEX
4880,6584178,SINGLE FAMILY / DUPLEX
4881,6442903,SINGLE FAMILY / DUPLEX
4882,6367759,SINGLE FAMILY / DUPLEX
4883,6363741,SINGLE FAMILY / DUPLEX
4884,6221468,SINGLE FAMILY / DUPLEX
4885,6577963,SINGLE FAMILY / DUPLEX
4886,6347186,SINGLE FAMILY / DUPLEX
4887,6555847,SINGLE FAMILY / DUPLEX
4888,6652364,SINGLE FAMILY / DUPLEX
4889,6413209,SINGLE FAMILY / DUPLEX
4890,6578444,SINGLE FAMILY / DUPLEX
4891,6362108,SINGLE FAMILY / DUPLEX
4892,6551116,SINGLE FAMILY / DUPLEX
4893,6404900,SINGLE FAMILY / DUPLEX
4894,6380015,SINGLE FAMILY / DUPLEX
4895,6169650,COMMERCIAL
4896,6365019,SINGLE FAMILY / DUPLEX
4897,6470277,SINGLE FAMILY / DUPLEX
4898,6569774,COMMERCIAL
4899,6624817,COMMERCIAL
4900,6371128,SINGLE FAMILY / DUPLEX
4901,6596555,SINGLE FAMILY / DUPLEX
4902,6619633,SINGLE FAMILY / DUPLEX
4903,6366025,SINGLE FAMILY / DUPLEX
4904,6498073,SINGLE FAMILY / DUPLEX
4905,6554941,SINGLE FAMILY / DUPLEX
4906,6359108,SINGLE FAMILY / DUPLEX
4907,6509341,SINGLE FAMILY / DUPLEX
4908,6086888,SINGLE FAMILY / DUPLEX
4909,6398087,SINGLE FAMILY / DUPLEX
4910,6520697,SINGLE FAMILY / DUPLEX
4911,6434460,SINGLE FAMILY / DUPLEX
4912,6421542,SINGLE FAMILY / DUPLEX
4913,6512158,SINGLE FAMILY / DUPLEX
4914,6645361,SINGLE FAMILY / DUPLEX
4915,6395855,SINGLE FAMILY / DUPLEX
4916,6386399,SINGLE FAMILY / DUPLEX
4917,6638289,SINGLE FAMILY / DUPLEX
4918,6555766,SINGLE FAMILY / DUPLEX
4919,6570998,SINGLE FAMILY / DUPLEX
4920,6624625,SINGLE FAMILY / DUPLEX
4921,6355108,COMMERCIAL
4922,6515372,SINGLE FAMILY / DUPLEX
4923,6447343,SINGLE FAMILY / DUPLEX
4924,6425844,SINGLE FAMILY / DUPLEX
4925,6354350,SINGLE FAMILY / DUPLEX
4926,6194364,COMMERCIAL
4927,6428215,SINGLE FAMILY / DUPLEX
4928,6413338,COMMERCIAL
4929,6148194,MULTIFAMILY
4930,6583386,SINGLE FAMILY / DUPLEX
4931,6614944,MULTIFAMILY
4932,6450515,SINGLE FAMILY / DUPLEX
4933,6515006,SINGLE FAMILY / DUPLEX
4934,6461281,SINGLE FAMILY / DUPLEX
4935,6387512,COMMERCIAL
4936,6571613,SINGLE FAMILY / DUPLEX
4937,6562727,SINGLE FAMILY / DUPLEX
4938,6116417,SINGLE FAMILY / DUPLEX
4939,6632796,SINGLE FAMILY / DUPLEX
4940,6540214,SINGLE FAMILY / DUPLEX
4941,6452804,INSTITUTIONAL
4942,6399014,SINGLE FAMILY / DUPLEX
4943,6437770,SINGLE FAMILY / DUPLEX
4944,6230098,SINGLE FAMILY / DUPLEX
4945,6476341,SINGLE FAMILY / DUPLEX
4946,6571670,SINGLE FAMILY / DUPLEX
4947,6380633,SINGLE FAMILY / DUPLEX
4948,6458265,COMMERCIAL
4949,6600162,SINGLE FAMILY / DUPLEX
4950,6387053,SINGLE FAMILY / DUPLEX
4951,6388762,SINGLE FAMILY / DUPLEX
4952,6401009,SINGLE FAMILY / DUPLEX
4953,6514334,SINGLE FAMILY / DUPLEX
4954,6420173,SINGLE FAMILY / DUPLEX
4955,6212468,SINGLE FAMILY / DUPLEX
4956,6525374,SINGLE FAMILY / DUPLEX
4957,6468273,SINGLE FAMILY / DUPLEX
4958,6438246,INSTITUTIONAL
4959,6551915,SINGLE FAMILY / DUPLEX
4960,6469559,SINGLE FAMILY / DUPLEX
4961,6543980,COMMERCIAL
4962,6531313,SINGLE FAMILY / DUPLEX
4963,6398379,SINGLE FAMILY / DUPLEX
4964,6388261,SINGLE FAMILY / DUPLEX
4965,6443660,SINGLE FAMILY / DUPLEX
4966,6584668,SINGLE FAMILY / DUPLEX
4967,6437474,SINGLE FAMILY / DUPLEX
4968,6645792,SINGLE FAMILY / DUPLEX
4969,6397903,SINGLE FAMILY / DUPLEX
4970,6154190,SINGLE FAMILY / DUPLEX
4971,6619921,SINGLE FAMILY / DUPLEX
4972,6415285,SINGLE FAMILY / DUPLEX
4973,6359479,SINGLE FAMILY / DUPLEX
4974,6314638,SINGLE FAMILY / DUPLEX
4975,6151225,SINGLE FAMILY / DUPLEX
4976,6438615,SINGLE FAMILY / DUPLEX
4977,6517037,COMMERCIAL
4978,6356436,SINGLE FAMILY / DUPLEX
4979,6525251,SINGLE FAMILY / DUPLEX
4980,6539114,SINGLE FAMILY / DUPLEX
4981,6372595,SINGLE FAMILY / DUPLEX
4982,6383223,SINGLE FAMILY / DUPLEX
4983,6403521,SINGLE FAMILY / DUPLEX
4984,6072523,SINGLE FAMILY / DUPLEX
4985,6500587,MULTIFAMILY
4986,6563961,SINGLE FAMILY / DUPLEX
4987,6467165,SINGLE FAMILY / DUPLEX
4988,6478621,SINGLE FAMILY / DUPLEX
4989,6453568,SINGLE FAMILY / DUPLEX
4990,6567647,SINGLE FAMILY / DUPLEX
4991,6424407,SINGLE FAMILY / DUPLEX
4992,6202200,SINGLE FAMILY / DUPLEX
4993,6389793,SINGLE FAMILY / DUPLEX
4994,6583949,COMMERCIAL
4995,6470456,SINGLE FAMILY / DUPLEX
4996,6486233,SINGLE FAMILY / DUPLEX
4997,6383937,SINGLE FAMILY / DUPLEX
4998,6388008,MULTIFAMILY
4999,6480378,SINGLE FAMILY / DUPLEX
5000,6634905,SINGLE FAMILY / DUPLEX
5001,6511430,COMMERCIAL
5002,6104313,SINGLE FAMILY / DUPLEX
5003,6608201,COMMERCIAL
5004,6363283,SINGLE FAMILY / DUPLEX
5005,6622615,SINGLE FAMILY / DUPLEX
5006,6416763,SINGLE FAMILY / DUPLEX
5007,6417842,SINGLE FAMILY / DUPLEX
5008,6396006,SINGLE FAMILY / DUPLEX
5009,6422711,SINGLE FAMILY / DUPLEX
5010,6572856,SINGLE FAMILY / DUPLEX
5011,6399164,SINGLE FAMILY / DUPLEX
5012,6341657,SINGLE FAMILY / DUPLEX
5013,6504955,SINGLE FAMILY / DUPLEX
5014,6454911,SINGLE FAMILY / DUPLEX
5015,6473427,SINGLE FAMILY / DUPLEX
5016,6510712,SINGLE FAMILY / DUPLEX
5017,6528644,SINGLE FAMILY / DUPLEX
5018,6529351,SINGLE FAMILY / DUPLEX
5019,6520916,SINGLE FAMILY / DUPLEX
5020,6581746,SINGLE FAMILY / DUPLEX
5021,6485698,SINGLE FAMILY / DUPLEX
5022,6592123,COMMERCIAL
5023,6550009,SINGLE FAMILY / DUPLEX
5024,6514543,SINGLE FAMILY / DUPLEX
5025,6650287,SINGLE FAMILY / DUPLEX
5026,6360172,SINGLE FAMILY / DUPLEX
5027,6590156,SINGLE FAMILY / DUPLEX
5028,6587413,SINGLE FAMILY / DUPLEX
5029,6365565,SINGLE FAMILY / DUPLEX
5030,6554282,SINGLE FAMILY / DUPLEX
5031,6479059,SINGLE FAMILY / DUPLEX
5032,6476237,COMMERCIAL
5033,6447999,SINGLE FAMILY / DUPLEX
5034,6643624,MULTIFAMILY
5035,6379976,SINGLE FAMILY / DUPLEX
5036,6481186,SINGLE FAMILY / DUPLEX
5037,6444706,SINGLE FAMILY / DUPLEX
5038,6155163,SINGLE FAMILY / DUPLEX
5039,6369480,SINGLE FAMILY / DUPLEX
5040,6408581,SINGLE FAMILY / DUPLEX
5041,6097643,SINGLE FAMILY / DUPLEX
5042,6606179,SINGLE FAMILY / DUPLEX
5043,6481896,SINGLE FAMILY / DUPLEX
5044,6523224,SINGLE FAMILY / DUPLEX
5045,6432936,SINGLE FAMILY / DUPLEX
5046,6282492,SINGLE FAMILY / DUPLEX
5047,6519229,SINGLE FAMILY / DUPLEX
5048,6471488,SINGLE FAMILY / DUPLEX
5049,6574052,SINGLE FAMILY / DUPLEX
5050,6416776,SINGLE FAMILY / DUPLEX
5051,6478557,SINGLE FAMILY / DUPLEX
5052,6580125,SINGLE FAMILY / DUPLEX
5053,6320799,SINGLE FAMILY / DUPLEX
5054,6372964,SINGLE FAMILY / DUPLEX
5055,6628935,SINGLE FAMILY / DUPLEX
5056,6620203,SINGLE FAMILY / DUPLEX
5057,6491939,SINGLE FAMILY / DUPLEX
5058,6451590,SINGLE FAMILY / DUPLEX
5059,6436200,SINGLE FAMILY / DUPLEX
5060,6454874,COMMERCIAL
5061,6489743,SINGLE FAMILY / DUPLEX
5062,6364312,SINGLE FAMILY / DUPLEX
5063,6619819,SINGLE FAMILY / DUPLEX
5064,6539064,SINGLE FAMILY / DUPLEX
5065,6376274,SINGLE FAMILY / DUPLEX
5066,6418880,SINGLE FAMILY / DUPLEX
5067,6425324,SINGLE FAMILY / DUPLEX
5068,6418387,SINGLE FAMILY / DUPLEX
5069,6353779,MULTIFAMILY
5070,6450726,SINGLE FAMILY / DUPLEX
5071,6449827,SINGLE FAMILY / DUPLEX
5072,6165252,SINGLE FAMILY / DUPLEX
5073,6621071,COMMERCIAL
5074,6578527,SINGLE FAMILY / DUPLEX
5075,6520217,MULTIFAMILY
5076,6379755,SINGLE FAMILY / DUPLEX
5077,6474819,SINGLE FAMILY / DUPLEX
5078,6614759,COMMERCIAL
5079,6194871,SINGLE FAMILY / DUPLEX
5080,6394161,SINGLE FAMILY / DUPLEX
5081,6610098,SINGLE FAMILY / DUPLEX
5082,6209695,SINGLE FAMILY / DUPLEX
5083,6587247,COMMERCIAL
5084,6486650,SINGLE FAMILY / DUPLEX
5085,6098511,SINGLE FAMILY / DUPLEX
5086,6486429,SINGLE FAMILY / DUPLEX
5087,6641170,SINGLE FAMILY / DUPLEX
5088,6261251,SINGLE FAMILY / DUPLEX
5089,6629287,SINGLE FAMILY / DUPLEX
5090,6402808,SINGLE FAMILY / DUPLEX
5091,6553265,SINGLE FAMILY / DUPLEX
5092,6595574,SINGLE FAMILY / DUPLEX
5093,6619895,SINGLE FAMILY / DUPLEX
5094,6571413,SINGLE FAMILY / DUPLEX
5095,6605060,SINGLE FAMILY / DUPLEX
5096,6538289,SINGLE FAMILY / DUPLEX
5097,6518253,SINGLE FAMILY / DUPLEX
5098,6450729,SINGLE FAMILY / DUPLEX
5099,6387739,SINGLE FAMILY / DUPLEX
5100,6540463,SINGLE FAMILY / DUPLEX
5101,6572661,MULTIFAMILY
5102,6457526,SINGLE FAMILY / DUPLEX
5103,6590713,SINGLE FAMILY / DUPLEX
5104,6524553,SINGLE FAMILY / DUPLEX
5105,6550337,COMMERCIAL
5106,6471704,SINGLE FAMILY / DUPLEX
5107,6449664,SINGLE FAMILY / DUPLEX
5108,6509010,SINGLE FAMILY / DUPLEX
5109,6604621,SINGLE FAMILY / DUPLEX
5110,6566925,COMMERCIAL
5111,6466102,SINGLE FAMILY / DUPLEX
5112,6585501,SINGLE FAMILY / DUPLEX
5113,6557780,SINGLE FAMILY / DUPLEX
5114,6348924,SINGLE FAMILY / DUPLEX
5115,6608200,SINGLE FAMILY / DUPLEX
5116,6435824,SINGLE FAMILY / DUPLEX
5117,6463108,SINGLE FAMILY / DUPLEX
5118,6468270,SINGLE FAMILY / DUPLEX
5119,6518932,SINGLE FAMILY / DUPLEX
5120,6408716,SINGLE FAMILY / DUPLEX
5121,6581501,COMMERCIAL
5122,6087499,SINGLE FAMILY / DUPLEX
5123,6549282,SINGLE FAMILY / DUPLEX
5124,6452708,SINGLE FAMILY / DUPLEX
5125,6358010,SINGLE FAMILY / DUPLEX
5126,6336924,SINGLE FAMILY / DUPLEX
5127,6505974,SINGLE FAMILY / DUPLEX
5128,6578900,SINGLE FAMILY / DUPLEX
5129,6385518,SINGLE FAMILY / DUPLEX
5130,6396953,SINGLE FAMILY / DUPLEX
5131,6635513,SINGLE FAMILY / DUPLEX
5132,6589428,SINGLE FAMILY / DUPLEX
5133,6150329,SINGLE FAMILY / DUPLEX
5134,6475824,SINGLE FAMILY / DUPLEX
5135,6584380,SINGLE FAMILY / DUPLEX
5136,6600997,SINGLE FAMILY / DUPLEX
5137,6622449,INSTITUTIONAL
5138,6142685,SINGLE FAMILY / DUPLEX
5139,6641088,SINGLE FAMILY / DUPLEX
5140,6470262,SINGLE FAMILY / DUPLEX
5141,6403362,SINGLE FAMILY / DUPLEX
5142,6432684,SINGLE FAMILY / DUPLEX
5143,6160235,SINGLE FAMILY / DUPLEX
5144,6180013,SINGLE FAMILY / DUPLEX
5145,6625363,SINGLE FAMILY / DUPLEX
5146,6090858,SINGLE FAMILY / DUPLEX
5147,6431627,SINGLE FAMILY / DUPLEX
5148,6433865,MULTIFAMILY
5149,6466401,SINGLE FAMILY / DUPLEX
5150,6525075,COMMERCIAL
5151,6597270,SINGLE FAMILY / DUPLEX
5152,6485880,SINGLE FAMILY / DUPLEX
5153,6586870,SINGLE FAMILY / DUPLEX
5154,6579960,COMMERCIAL
5155,6415364,SINGLE FAMILY / DUPLEX
5156,6614106,SINGLE FAMILY / DUPLEX
5157,6192183,SINGLE FAMILY / DUPLEX
5158,6558851,SINGLE FAMILY / DUPLEX
5159,6162757,MULTIFAMILY
5160,6490750,SINGLE FAMILY / DUPLEX
5161,6406322,MULTIFAMILY
5162,6563675,SINGLE FAMILY / DUPLEX
5163,6370456,SINGLE FAMILY / DUPLEX
5164,6551327,SINGLE FAMILY / DUPLEX
5165,6593928,SINGLE FAMILY / DUPLEX
5166,6111686,SINGLE FAMILY / DUPLEX
5167,6365723,SINGLE FAMILY / DUPLEX
5168,6639303,COMMERCIAL
5169,6485469,SINGLE FAMILY / DUPLEX
5170,6390529,MULTIFAMILY
5171,6370315,SINGLE FAMILY / DUPLEX
5172,6587542,SINGLE FAMILY / DUPLEX
5173,6421967,MULTIFAMILY
5174,6622930,SINGLE FAMILY / DUPLEX
5175,6544013,SINGLE FAMILY / DUPLEX
5176,6533727,SINGLE FAMILY / DUPLEX
5177,6424049,MULTIFAMILY
5178,6520823,SINGLE FAMILY / DUPLEX
5179,6602608,SINGLE FAMILY / DUPLEX
5180,6515619,SINGLE FAMILY / DUPLEX
5181,6440089,SINGLE FAMILY / DUPLEX
5182,6599400,SINGLE FAMILY / DUPLEX
5183,6444461,SINGLE FAMILY / DUPLEX
5184,6613223,SINGLE FAMILY / DUPLEX
5185,6365253,SINGLE FAMILY / DUPLEX
5186,6596189,MULTIFAMILY
5187,6464699,SINGLE FAMILY / DUPLEX
5188,6412741,SINGLE FAMILY / DUPLEX
5189,6516946,SINGLE FAMILY / DUPLEX
5190,6179737,SINGLE FAMILY / DUPLEX
5191,6448828,SINGLE FAMILY / DUPLEX
5192,6398636,MULTIFAMILY
5193,6546203,SINGLE FAMILY / DUPLEX
5194,6485446,SINGLE FAMILY / DUPLEX
5195,6513344,SINGLE FAMILY / DUPLEX
5196,6592648,SINGLE FAMILY / DUPLEX
5197,6317017,SINGLE FAMILY / DUPLEX
5198,6592795,COMMERCIAL
5199,6375062,SINGLE FAMILY / DUPLEX
5200,6598252,SINGLE FAMILY / DUPLEX
5201,6071672,SINGLE FAMILY / DUPLEX
5202,6197341,SINGLE FAMILY / DUPLEX
5203,6610565,SINGLE FAMILY / DUPLEX
5204,6652426,SINGLE FAMILY / DUPLEX
5205,6614726,SINGLE FAMILY / DUPLEX
5206,6554623,SINGLE FAMILY / DUPLEX
5207,6398009,SINGLE FAMILY / DUPLEX
5208,6414365,SINGLE FAMILY / DUPLEX
5209,6443424,SINGLE FAMILY / DUPLEX
5210,6644059,SINGLE FAMILY / DUPLEX
5211,6357619,SINGLE FAMILY / DUPLEX
5212,6456895,SINGLE FAMILY / DUPLEX
5213,6626027,SINGLE FAMILY / DUPLEX
5214,6465382,COMMERCIAL
5215,6409034,SINGLE FAMILY / DUPLEX
5216,6402011,SINGLE FAMILY / DUPLEX
5217,6612793,COMMERCIAL
5218,6337152,INSTITUTIONAL
5219,6376511,SINGLE FAMILY / DUPLEX
5220,6512619,SINGLE FAMILY / DUPLEX
5221,6452858,SINGLE FAMILY / DUPLEX
5222,6517502,SINGLE FAMILY / DUPLEX
5223,6608460,SINGLE FAMILY / DUPLEX
5224,6557864,SINGLE FAMILY / DUPLEX
5225,6621656,SINGLE FAMILY / DUPLEX
5226,6265781,COMMERCIAL
5227,6142667,SINGLE FAMILY / DUPLEX
5228,6531004,SINGLE FAMILY / DUPLEX
5229,6636314,SINGLE FAMILY / DUPLEX
5230,6525505,SINGLE FAMILY / DUPLEX
5231,6442745,SINGLE FAMILY / DUPLEX
5232,6484444,COMMERCIAL
5233,6644263,SINGLE FAMILY / DUPLEX
5234,6257630,SINGLE FAMILY / DUPLEX
5235,6553574,SINGLE FAMILY / DUPLEX
5236,6170058,SINGLE FAMILY / DUPLEX
5237,6604471,SINGLE FAMILY / DUPLEX
5238,6476788,SINGLE FAMILY / DUPLEX
5239,6394276,SINGLE FAMILY / DUPLEX
5240,6546283,SINGLE FAMILY / DUPLEX
5241,6567749,SINGLE FAMILY / DUPLEX
5242,6451555,MULTIFAMILY
5243,6497722,SINGLE FAMILY / DUPLEX
5244,6120908,SINGLE FAMILY / DUPLEX
5245,6374675,COMMERCIAL
5246,6580156,SINGLE FAMILY / DUPLEX
5247,6228426,SINGLE FAMILY / DUPLEX
5248,6501795,SINGLE FAMILY / DUPLEX
5249,6431795,SINGLE FAMILY / DUPLEX
5250,6263807,SINGLE FAMILY / DUPLEX
5251,6431103,SINGLE FAMILY / DUPLEX
5252,6519609,SINGLE FAMILY / DUPLEX
5253,6573532,SINGLE FAMILY / DUPLEX
5254,6522311,COMMERCIAL
5255,6395678,SINGLE FAMILY / DUPLEX
5256,6193859,SINGLE FAMILY / DUPLEX
5257,6640319,SINGLE FAMILY / DUPLEX
5258,6513347,SINGLE FAMILY / DUPLEX
5259,6450096,SINGLE FAMILY / DUPLEX
5260,6591379,SINGLE FAMILY / DUPLEX
5261,6513092,SINGLE FAMILY / DUPLEX
5262,6608639,SINGLE FAMILY / DUPLEX
5263,6538921,SINGLE FAMILY / DUPLEX
5264,6590401,SINGLE FAMILY / DUPLEX
5265,6370163,SINGLE FAMILY / DUPLEX
5266,6397169,SINGLE FAMILY / DUPLEX
5267,6590854,INSTITUTIONAL
5268,6565146,SINGLE FAMILY / DUPLEX
5269,6606547,SINGLE FAMILY / DUPLEX
5270,6551265,SINGLE FAMILY / DUPLEX
5271,6442635,SINGLE FAMILY / DUPLEX
5272,6491696,SINGLE FAMILY / DUPLEX
5273,6478869,SINGLE FAMILY / DUPLEX
5274,6608869,SINGLE FAMILY / DUPLEX
5275,6398066,COMMERCIAL
5276,6440194,COMMERCIAL
5277,6577081,SINGLE FAMILY / DUPLEX
5278,6488132,SINGLE FAMILY / DUPLEX
5279,6484220,SINGLE FAMILY / DUPLEX
5280,6455658,SINGLE FAMILY / DUPLEX
5281,6608858,SINGLE FAMILY / DUPLEX
5282,6357885,SINGLE FAMILY / DUPLEX
5283,6616461,SINGLE FAMILY / DUPLEX
5284,6319895,SINGLE FAMILY / DUPLEX
5285,6559830,INSTITUTIONAL
5286,6646458,SINGLE FAMILY / DUPLEX
5287,6287169,SINGLE FAMILY / DUPLEX
5288,6449848,SINGLE FAMILY / DUPLEX
5289,6475142,SINGLE FAMILY / DUPLEX
5290,6523875,SINGLE FAMILY / DUPLEX
5291,6437107,SINGLE FAMILY / DUPLEX
5292,6505767,SINGLE FAMILY / DUPLEX
5293,6598958,COMMERCIAL
5294,6574518,SINGLE FAMILY / DUPLEX
5295,6497834,SINGLE FAMILY / DUPLEX
5296,6430174,COMMERCIAL
5297,6602489,SINGLE FAMILY / DUPLEX
5298,6406432,SINGLE FAMILY / DUPLEX
5299,6387361,SINGLE FAMILY / DUPLEX
5300,6362494,SINGLE FAMILY / DUPLEX
5301,6601259,SINGLE FAMILY / DUPLEX
5302,6583441,MULTIFAMILY
5303,6644842,COMMERCIAL
5304,6601923,SINGLE FAMILY / DUPLEX
5305,6400010,SINGLE FAMILY / DUPLEX
5306,6591012,SINGLE FAMILY / DUPLEX
5307,6475106,MULTIFAMILY
5308,6362267,SINGLE FAMILY / DUPLEX
5309,6527648,COMMERCIAL
5310,6406424,SINGLE FAMILY / DUPLEX
5311,6462668,SINGLE FAMILY / DUPLEX
5312,6467132,COMMERCIAL
5313,6609622,MULTIFAMILY
5314,6626527,SINGLE FAMILY / DUPLEX
5315,6591558,SINGLE FAMILY / DUPLEX
5316,6261750,COMMERCIAL
5317,6379349,SINGLE FAMILY / DUPLEX
5318,6181160,COMMERCIAL
5319,6445290,SINGLE FAMILY / DUPLEX
5320,6578594,SINGLE FAMILY / DUPLEX
5321,6087410,SINGLE FAMILY / DUPLEX
5322,6520138,SINGLE FAMILY / DUPLEX
5323,6473393,SINGLE FAMILY / DUPLEX
5324,6139727,SINGLE FAMILY / DUPLEX
5325,6491018,SINGLE FAMILY / DUPLEX
5326,6623460,SINGLE FAMILY / DUPLEX
5327,6356663,SINGLE FAMILY / DUPLEX
5328,6512422,COMMERCIAL
5329,6638622,SINGLE FAMILY / DUPLEX
5330,6455143,SINGLE FAMILY / DUPLEX
5331,6394267,SINGLE FAMILY / DUPLEX
5332,6390806,SINGLE FAMILY / DUPLEX
5333,6497642,SINGLE FAMILY / DUPLEX
5334,6568084,SINGLE FAMILY / DUPLEX
5335,6613878,SINGLE FAMILY / DUPLEX
5336,6561640,SINGLE FAMILY / DUPLEX
5337,6589954,SINGLE FAMILY / DUPLEX
5338,6391420,SINGLE FAMILY / DUPLEX
5339,6304366,COMMERCIAL
5340,6443408,MULTIFAMILY
5341,6463404,COMMERCIAL
5342,6440810,SINGLE FAMILY / DUPLEX
5343,6572041,SINGLE FAMILY / DUPLEX
5344,6409329,SINGLE FAMILY / DUPLEX
5345,6557601,SINGLE FAMILY / DUPLEX
5346,6483517,COMMERCIAL
5347,6612424,SINGLE FAMILY / DUPLEX
5348,6532430,SINGLE FAMILY / DUPLEX
5349,6549701,SINGLE FAMILY / DUPLEX
5350,6338543,SINGLE FAMILY / DUPLEX
5351,6534605,SINGLE FAMILY / DUPLEX
5352,6068202,SINGLE FAMILY / DUPLEX
5353,6473410,COMMERCIAL
5354,6393550,SINGLE FAMILY / DUPLEX
5355,6382152,COMMERCIAL
5356,6449257,COMMERCIAL
5357,6583285,SINGLE FAMILY / DUPLEX
5358,6374625,SINGLE FAMILY / DUPLEX
5359,6537047,COMMERCIAL
5360,6364399,SINGLE FAMILY / DUPLEX
5361,6535682,SINGLE FAMILY / DUPLEX
5362,6315013,SINGLE FAMILY / DUPLEX
5363,6528892,SINGLE FAMILY / DUPLEX
5364,6374350,SINGLE FAMILY / DUPLEX
5365,6553141,SINGLE FAMILY / DUPLEX
5366,6477244,SINGLE FAMILY / DUPLEX
5367,6500563,COMMERCIAL
5368,6401124,SINGLE FAMILY / DUPLEX
5369,6456508,SINGLE FAMILY / DUPLEX
5370,6522449,SINGLE FAMILY / DUPLEX
5371,6390586,COMMERCIAL
5372,6635131,SINGLE FAMILY / DUPLEX
5373,6496483,SINGLE FAMILY / DUPLEX
5374,6523456,SINGLE FAMILY / DUPLEX
5375,6571897,SINGLE FAMILY / DUPLEX
5376,6091803,COMMERCIAL
5377,6559328,SINGLE FAMILY / DUPLEX
5378,6213354,COMMERCIAL
5379,6587449,SINGLE FAMILY / DUPLEX
